asn,subnet
AS135377,118.193.34.0/24
AS135377,118.193.35.0/24
AS135377,165.154.11.0/24
AS135377,101.36.106.0/24
AS135377,152.32.171.0/24
AS135377,152.32.226.0/24
AS135377,118.193.40.0/24
AS135377,152.32.212.0/24
AS135377,152.32.209.0/24
AS135377,152.32.206.0/24
AS135377,101.36.108.0/24
AS135377,165.154.1.0/24
AS135377,152.32.213.0/24
AS135377,45.249.246.0/24
AS135377,152.32.144.0/24
AS135377,101.36.127.0/24
AS135377,152.32.252.0/24
AS135377,152.32.140.0/24
AS135377,152.32.175.0/24
AS135377,123.58.210.0/24
AS135377,118.194.230.0/24
AS135377,165.154.22.0/24
AS135377,45.249.245.0/24
AS135377,118.193.69.0/24
AS135377,152.32.134.0/24
AS135377,101.36.109.0/24
AS135377,101.36.122.0/24
AS135377,101.36.119.0/24
AS135377,101.36.117.0/24
AS135377,101.36.107.0/24
AS135377,45.249.247.0/24
AS135377,118.194.234.0/24
AS135377,123.58.213.0/24
AS136907,114.119.133.0/24
AS136907,114.119.137.0/24
AS136907,49.0.200.0/24
AS136907,101.44.201.0/24
AS136907,124.243.170.0/24
AS136907,119.13.104.0/24
AS136907,166.108.228.0/24
AS136907,119.12.169.0/24
AS136907,111.119.235.0/24
AS136907,110.238.119.0/24
AS136907,114.119.131.0/24
AS150436,163.7.4.0/24
AS150436,45.78.237.0/24
AS150436,45.78.198.0/24
AS150436,163.7.6.0/24
AS150436,101.47.135.0/24
AS150436,101.47.159.0/24
AS150436,45.78.204.0/24
AS150436,101.47.17.0/24
AS150436,163.7.3.0/24
AS150436,101.47.50.0/24
AS150436,101.47.158.0/24
AS150436,101.47.48.0/24
AS150436,101.47.8.0/24
AS150436,69.5.0.0/24
AS150436,163.7.5.0/24
AS150436,163.7.1.0/24
AS150436,45.78.206.0/24
AS150436,101.47.156.0/24
AS150436,150.5.129.0/24
AS150436,163.7.11.0/24
AS150436,101.47.20.0/24
AS150436,101.47.143.0/24
