ip_range,ip_count
74.91.224.0/24,3
160.251.251.0/24,2
162.158.63.0/24,3
162.243.21.0/24,1
103.53.231.0/24,3
94.26.106.0/24,32
81.23.173.0/24,2
139.59.71.0/24,7
103.187.147.0/24,16
103.176.78.0/24,5
101.47.142.0/24,38
20.214.145.0/24,2
185.236.25.0/24,2
51.68.65.0/24,2
159.65.153.0/24,5
170.64.185.0/24,6
159.89.121.0/24,8
103.86.198.0/24,4
69.5.189.0/24,9
34.123.134.0/24,2
156.236.75.0/24,8
34.95.197.0/24,2
186.19.136.0/24,1
20.12.41.0/24,3
125.212.192.0/24,2
140.246.70.0/24,2
159.89.53.0/24,10
139.59.2.0/24,1
171.213.135.0/24,1
101.47.49.0/24,24
143.110.178.0/24,5
158.220.98.0/24,2
170.64.221.0/24,1
43.156.203.0/24,2
134.209.95.0/24,4
68.183.204.0/24,3
152.32.129.0/24,10
89.188.72.0/24,3
134.199.159.0/24,8
102.211.234.0/24,3
69.6.220.0/24,2
45.123.110.0/24,2
8.213.210.0/24,2
103.193.178.0/24,10
159.65.51.0/24,1
116.110.18.0/24,10
123.187.241.0/24,2
143.198.213.0/24,2
38.178.41.0/24,2
146.190.218.0/24,4
125.91.17.0/24,2
1.222.42.0/24,2
107.170.26.0/24,1
101.47.48.0/24,11
208.69.84.0/24,2
170.64.237.0/24,9
14.225.205.0/24,3
27.79.4.0/24,10
170.64.224.0/24,2
103.82.92.0/24,7
43.226.36.0/24,4
189.50.142.0/24,4
103.139.193.0/24,9
213.74.255.0/24,2
116.193.190.0/24,7
99.92.204.0/24,3
123.234.3.0/24,2
165.232.163.0/24,1
103.49.238.0/24,16
101.36.124.0/24,3
130.51.21.0/24,4
134.199.166.0/24,6
43.160.206.0/24,3
161.35.43.0/24,1
103.186.0.0/24,12
163.177.76.0/24,3
131.161.249.0/24,2
34.71.30.0/24,2
51.254.103.0/24,2
104.28.155.0/24,11
159.65.220.0/24,2
150.5.129.0/24,3
185.40.30.0/24,2
103.187.146.0/24,7
198.74.62.0/24,4
165.154.20.0/24,4
139.59.181.0/24,3
207.180.208.0/24,1
121.29.4.0/24,10
202.184.141.0/24,2
184.22.25.0/24,1
45.144.233.0/24,3
201.124.54.0/24,1
128.1.131.0/24,3
121.142.87.0/24,2
147.50.231.0/24,3
171.231.190.0/24,7
163.7.8.0/24,5
188.32.148.0/24,3
59.36.171.0/24,1
186.236.237.0/24,2
165.154.231.0/24,5
152.200.217.0/24,2
43.156.71.0/24,2
212.11.64.0/24,6
172.68.119.0/24,2
172.71.191.0/24,4
170.64.192.0/24,3
47.74.51.0/24,2
189.147.237.0/24,1
5.161.218.0/24,1
94.159.111.0/24,1
14.103.107.0/24,7
159.195.60.0/24,1
27.79.7.0/24,8
182.52.236.0/24,2
