attack_timestamp_utc,attacker_ip,attack_type,attack_severity,mitre_technique,targeted_endpoint,origin_country,status
"2026-04-26 12:19:26",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:26",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:26",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:15",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:14",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:14",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:14",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:14",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:14",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:19:03",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:51",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:39",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:27",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:16",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:18:04",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:52",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:40",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:35",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:23",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:11",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:17:00",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
"2026-04-26 12:16:48",207.180.222.68,"SSH Brute Force",medium,T1110,SSH,Unknown,BLOCKED
